row_id,attacker,victim,attack_type,clean_sim,adv_sim,threshold,breach,impact
0,Facenet512,ArcFace,impersonation_attack,0.2114,0.4839,0.5,False,0.2725
0,Facenet512,GhostFaceNet,impersonation_attack,0.0863,0.0784,0.5,False,-0.0079
0,Facenet512,VGG-Face,impersonation_attack,0.0917,0.3576,0.5,False,0.2659
0,ArcFace,Facenet512,impersonation_attack,0.2038,0.6431,0.5,True,0.4393
0,ArcFace,GhostFaceNet,impersonation_attack,0.0863,0.1077,0.5,False,0.0213
0,ArcFace,VGG-Face,impersonation_attack,0.0917,0.3002,0.5,False,0.2085
0,GhostFaceNet,Facenet512,impersonation_attack,0.2038,0.3045,0.5,False,0.1007
0,GhostFaceNet,ArcFace,impersonation_attack,0.2114,0.3153,0.5,False,0.1039
0,GhostFaceNet,VGG-Face,impersonation_attack,0.0917,0.163,0.5,False,0.0713
0,VGG-Face,Facenet512,impersonation_attack,0.2038,0.7164,0.5,True,0.5126
0,VGG-Face,ArcFace,impersonation_attack,0.2114,0.5027,0.5,True,0.2913
0,VGG-Face,GhostFaceNet,impersonation_attack,0.0863,0.0484,0.5,False,-0.038
32,Facenet512,ArcFace,impersonation_attack,0.023,0.2632,0.5,False,0.2402
32,Facenet512,GhostFaceNet,impersonation_attack,0.1128,0.1538,0.5,False,0.041
32,Facenet512,VGG-Face,impersonation_attack,0.1674,0.2666,0.5,False,0.0992
32,ArcFace,Facenet512,impersonation_attack,0.0512,0.4434,0.5,False,0.3922
32,ArcFace,GhostFaceNet,impersonation_attack,0.1128,0.0977,0.5,False,-0.0151
32,ArcFace,VGG-Face,impersonation_attack,0.1674,0.2591,0.5,False,0.0917
32,GhostFaceNet,Facenet512,impersonation_attack,0.0512,0.2552,0.5,False,0.204
32,GhostFaceNet,ArcFace,impersonation_attack,0.023,0.1687,0.5,False,0.1458
32,GhostFaceNet,VGG-Face,impersonation_attack,0.1674,0.1909,0.5,False,0.0235
32,VGG-Face,Facenet512,impersonation_attack,0.0512,0.4739,0.5,False,0.4227
32,VGG-Face,ArcFace,impersonation_attack,0.023,0.2734,0.5,False,0.2505
32,VGG-Face,GhostFaceNet,impersonation_attack,0.1128,0.1569,0.5,False,0.0441
48,Facenet512,ArcFace,impersonation_attack,0.1084,0.2384,0.5,False,0.13
48,Facenet512,GhostFaceNet,impersonation_attack,0.2054,0.3064,0.5,False,0.101
48,Facenet512,VGG-Face,impersonation_attack,0.0496,0.1202,0.5,False,0.0706
48,ArcFace,Facenet512,impersonation_attack,-0.1589,-0.015,0.5,False,0.1439
48,ArcFace,GhostFaceNet,impersonation_attack,0.2054,0.318,0.5,False,0.1126
48,ArcFace,VGG-Face,impersonation_attack,0.0496,0.109,0.5,False,0.0594
48,GhostFaceNet,Facenet512,impersonation_attack,-0.1589,-0.145,0.5,False,0.0139
48,GhostFaceNet,ArcFace,impersonation_attack,0.1084,0.1555,0.5,False,0.0472
48,GhostFaceNet,VGG-Face,impersonation_attack,0.0496,0.055,0.5,False,0.0053
48,VGG-Face,Facenet512,impersonation_attack,-0.1589,0.14,0.5,False,0.2989
48,VGG-Face,ArcFace,impersonation_attack,0.1084,0.2704,0.5,False,0.1621
48,VGG-Face,GhostFaceNet,impersonation_attack,0.2054,0.2722,0.5,False,0.0668
57,Facenet512,ArcFace,impersonation_attack,0.2939,0.2848,0.5,False,-0.0091
57,Facenet512,GhostFaceNet,impersonation_attack,-0.0248,0.1109,0.5,False,0.1357
57,Facenet512,VGG-Face,impersonation_attack,0.1559,0.3296,0.5,False,0.1737
57,ArcFace,Facenet512,impersonation_attack,0.1257,0.3784,0.5,False,0.2527
57,ArcFace,GhostFaceNet,impersonation_attack,-0.0248,0.0236,0.5,False,0.0484
57,ArcFace,VGG-Face,impersonation_attack,0.1559,0.2524,0.5,False,0.0964
57,GhostFaceNet,Facenet512,impersonation_attack,0.1257,0.2644,0.5,False,0.1388
57,GhostFaceNet,ArcFace,impersonation_attack,0.2939,0.3652,0.5,False,0.0712
57,GhostFaceNet,VGG-Face,impersonation_attack,0.1559,0.161,0.5,False,0.005
57,VGG-Face,Facenet512,impersonation_attack,0.1257,0.4926,0.5,False,0.3669
57,VGG-Face,ArcFace,impersonation_attack,0.2939,0.388,0.5,False,0.0941
57,VGG-Face,GhostFaceNet,impersonation_attack,-0.0248,-0.0197,0.5,False,0.0051
60,Facenet512,ArcFace,impersonation_attack,0.0811,0.3175,0.5,False,0.2364
60,Facenet512,GhostFaceNet,impersonation_attack,-0.015,-0.0125,0.5,False,0.0025
60,Facenet512,VGG-Face,impersonation_attack,0.0474,0.2552,0.5,False,0.2078
60,ArcFace,Facenet512,impersonation_attack,0.1687,0.4239,0.5,False,0.2552
60,ArcFace,GhostFaceNet,impersonation_attack,-0.015,0.016,0.5,False,0.031
60,ArcFace,VGG-Face,impersonation_attack,0.0474,0.1603,0.5,False,0.1128
60,GhostFaceNet,Facenet512,impersonation_attack,0.1687,0.145,0.5,False,-0.0237
60,GhostFaceNet,ArcFace,impersonation_attack,0.0811,0.1541,0.5,False,0.073
60,GhostFaceNet,VGG-Face,impersonation_attack,0.0474,0.0762,0.5,False,0.0287
60,VGG-Face,Facenet512,impersonation_attack,0.1687,0.6359,0.5,True,0.4672
60,VGG-Face,ArcFace,impersonation_attack,0.0811,0.4714,0.5,False,0.3903
60,VGG-Face,GhostFaceNet,impersonation_attack,-0.015,0.1024,0.5,False,0.1174
2,Facenet512,ArcFace,impersonation_attack,0.2291,0.3149,0.5,False,0.0858
2,Facenet512,GhostFaceNet,impersonation_attack,-0.0022,0.0802,0.5,False,0.0824
2,Facenet512,VGG-Face,impersonation_attack,0.0736,0.1867,0.5,False,0.1132
2,ArcFace,Facenet512,impersonation_attack,0.0811,0.3396,0.5,False,0.2585
2,ArcFace,GhostFaceNet,impersonation_attack,-0.0022,0.0522,0.5,False,0.0544
2,ArcFace,VGG-Face,impersonation_attack,0.0736,0.2078,0.5,False,0.1343
2,GhostFaceNet,Facenet512,impersonation_attack,0.0811,0.144,0.5,False,0.063
2,GhostFaceNet,ArcFace,impersonation_attack,0.2291,0.1707,0.5,False,-0.0584
2,GhostFaceNet,VGG-Face,impersonation_attack,0.0736,0.1135,0.5,False,0.0399
2,VGG-Face,Facenet512,impersonation_attack,0.0811,0.5296,0.5,True,0.4486
2,VGG-Face,ArcFace,impersonation_attack,0.2291,0.3185,0.5,False,0.0894
2,VGG-Face,GhostFaceNet,impersonation_attack,-0.0022,0.095,0.5,False,0.0972
8,Facenet512,ArcFace,impersonation_attack,0.1708,0.3012,0.5,False,0.1304
8,Facenet512,GhostFaceNet,impersonation_attack,-0.0084,0.2278,0.5,False,0.2362
8,Facenet512,VGG-Face,impersonation_attack,0.0742,0.1969,0.5,False,0.1227
8,ArcFace,Facenet512,impersonation_attack,-0.2507,0.0291,0.5,False,0.2798
8,ArcFace,GhostFaceNet,impersonation_attack,-0.0084,0.1453,0.5,False,0.1537
8,ArcFace,VGG-Face,impersonation_attack,0.0742,0.1667,0.5,False,0.0926
8,GhostFaceNet,Facenet512,impersonation_attack,-0.2507,0.0842,0.5,False,0.335
8,GhostFaceNet,ArcFace,impersonation_attack,0.1708,0.2988,0.5,False,0.128
8,GhostFaceNet,VGG-Face,impersonation_attack,0.0742,0.0992,0.5,False,0.025
8,VGG-Face,Facenet512,impersonation_attack,-0.2507,0.1805,0.5,False,0.4313
8,VGG-Face,ArcFace,impersonation_attack,0.1708,0.3459,0.5,False,0.1751
8,VGG-Face,GhostFaceNet,impersonation_attack,-0.0084,0.1379,0.5,False,0.1463
12,Facenet512,ArcFace,impersonation_attack,0.2072,0.2654,0.5,False,0.0581
12,Facenet512,GhostFaceNet,impersonation_attack,-0.1018,-0.0359,0.5,False,0.0659
12,Facenet512,VGG-Face,impersonation_attack,0.0685,0.1516,0.5,False,0.0831
12,ArcFace,Facenet512,impersonation_attack,0.0975,0.1789,0.5,False,0.0813
12,ArcFace,GhostFaceNet,impersonation_attack,-0.1018,0.0121,0.5,False,0.1139
12,ArcFace,VGG-Face,impersonation_attack,0.0685,0.0986,0.5,False,0.0301
12,GhostFaceNet,Facenet512,impersonation_attack,0.0975,0.1466,0.5,False,0.049
12,GhostFaceNet,ArcFace,impersonation_attack,0.2072,0.236,0.5,False,0.0287
12,GhostFaceNet,VGG-Face,impersonation_attack,0.0685,0.0827,0.5,False,0.0142
12,VGG-Face,Facenet512,impersonation_attack,0.0975,0.3474,0.5,False,0.2499
12,VGG-Face,ArcFace,impersonation_attack,0.2072,0.2637,0.5,False,0.0565
12,VGG-Face,GhostFaceNet,impersonation_attack,-0.1018,0.0013,0.5,False,0.1031
26,Facenet512,ArcFace,impersonation_attack,0.009,0.068,0.5,False,0.0591
26,Facenet512,GhostFaceNet,impersonation_attack,0.0293,0.05,0.5,False,0.0207
26,Facenet512,VGG-Face,impersonation_attack,0.0276,0.0449,0.5,False,0.0173
26,ArcFace,Facenet512,impersonation_attack,-0.209,-0.0835,0.5,False,0.1255
26,ArcFace,GhostFaceNet,impersonation_attack,0.0293,0.0959,0.5,False,0.0666
