attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,DPA_HMA,30,40.0,0.3164122131342689
ArcFace,GhostFaceNet,DPA_HMA,30,40.0,0.1444766726034383
ArcFace,IR152,DPA_HMA,30,16.666666666666664,0.2307444131312271
ArcFace,VGG-Face,DPA_HMA,30,40.0,0.16364094999929268
Facenet512,ArcFace,DPA_HMA,30,60.0,0.24318746803328395
Facenet512,GhostFaceNet,DPA_HMA,30,46.666666666666664,0.14742185041929284
Facenet512,IR152,DPA_HMA,30,50.0,0.2916025763998429
Facenet512,VGG-Face,DPA_HMA,30,60.0,0.23430651345600684
GhostFaceNet,ArcFace,DPA_HMA,30,40.0,0.15041263156260054
GhostFaceNet,Facenet512,DPA_HMA,30,20.0,0.2031407945478956
GhostFaceNet,IR152,DPA_HMA,30,26.666666666666668,0.18831085246056317
GhostFaceNet,VGG-Face,DPA_HMA,30,23.333333333333332,0.09777890716989837
VGG-Face,ArcFace,DPA_HMA,30,60.0,0.22489457040404284
VGG-Face,Facenet512,DPA_HMA,30,60.0,0.45482218358665705
VGG-Face,GhostFaceNet,DPA_HMA,30,43.333333333333336,0.13775731626277168
VGG-Face,IR152,DPA_HMA,30,16.666666666666664,0.21139539914826552
